"Gadenavn","WGS84 latitude","WGS84 longitude"
" -FLEX Munkholm Zoo","56,32163","10,784234"
" -FLEX Museet Sd.brogd.","56,354867","8,620875"
" -FLEX Møllegrd, Mølleg","56,566647","9,020536"
" -FLEX Mørke, Lindeg.","56,332888","10,381292"
" -FLEX Mørke Station","56,338966","10,375283"
" -FLEX Mørke, Ådalsh.","56,363345","10,273368"
" -FLEX Nimtofte Læg.hus","56,40693","10,571371"
" -FLEX Nr.Nissum, Semi.","56,547968","8,420595"
" -FLEX Nørbæk, Fårupvej","56,538441","9,824966"
" -FLEX Nørre Vissing","56,12472","9,847216"
" -FLEX O.by, AS Friskl.","55,750919","9,995648"
" -FLEX Odder St.","55,971952","10,150062"
" -FLEX Over Fussing","56,481345","9,893741"
" -FLEX Park Allé","56,151446","10,203069"
" -FLEX Pindstruphallen","56,395742","10,413119"
" -FLEX Pindstrup Landbh","56,392783","10,41181"
" -FLEX Ramme Station","56,489006","8,210666"
" -FLEX Randers Busterm.","56,459202","10,03867"
" -FLEX Randers Station","56,461968","10,022516"
" -FLEX Rands. Brg.serv.","56,457444","10,033948"
" -FLEX Rask Mølle, St.p","55,873551","9,614439"
" -FLEX Ree Park","56,264503","10,742708"
" -FLEX Reg.Hosp. Rnds.","56,470444","10,050145"
" -FLEX Rodskov Forsaml.","56,299292","10,362545"
" -FLEX Rosenholm Lægec.","56,320961","10,322277"
" -FLEX Rude Havv v/letb","55,983864","10,15516"
" -FLEX Ryomgaard Ringp.","56,386908","10,501169"
" -FLEX Ryomgård St.","56,380087","10,50124"
" -FLEX Ry Station","56,091406","9,758247"
" -FLEX Rønde Busterm.","56,300619","10,47805"
" -FLEX Rønde Idrætscen.","56,304634","10,460716"
" -FLEX Rønde, Lillerup.","56,30159","10,471154"
" -FLEX Råby Ved Dammen","56,608445","10,230072"
" -FLEX Rårup Kirke","55,773823","9,929196"
" -FLEX Råsted, Hobrov.","56,512691","9,949632"
" -FLEX Sdr.bæk, Byvejen","56,501364","9,836735"
" -FLEX Sdr. F. Lægehus","55,941415","8,780731"
" -FLEX Sjelle, Rytbakke","56,182906","9,93461"
" -FLEX Skand. Dyrepark","56,342578","10,643102"
" -FLEX Skanderborg st","56,043489","9,92419"
" -FLEX Skb. Fælled","56,0499","9,962442"
" -FLEX Skb., Møllegade","56,035928","9,928342"
" -FLEX Skive Trafikterm","56,562065","9,025529"
" -FLEX Skjørring, Kirkv","56,178228","9,887909"
" -FLEX Skovbyskolen","56,155425","9,943473"
" -FLEX Slotsg. Busterm.","56,357688","8,614924"
" -FLEX Snaptun Havn","55,821721","10,051405"
" -FLEX Spektrum Odder","55,977893","10,15378"
" -FLEX Spentrp, Bane A.","56,536171","10,043377"
" -FLEX Stenderup Skole","55,790566","9,803841"
" -FLEX Stevnst., Grnstnv","56,433264","9,94517"
" -FLEX Stilling, Lynghv","56,061023","9,98424"
" -FLEX Stjær Kirke","56,117268","9,953605"
" -FLEX Storring Kirke","56,136398","9,940626"
" -FLEX Stouby Skole","55,705407","9,797334"
" -FLEX Struer Station","56,491537","8,600625"
" -FLEX Sundh.cen./Thors","56,463061","10,036"
" -FLEX Sundhedsh. Odder","55,97064","10,154926"
" -FLEX Sundhedshuset","56,549404","8,314179"
" -FLEX Sundh., Resenvej","56,572512","9,029361"
" -FLEX Sunds, Lægehuset","56,205845","9,012122"
" -FLEX Søby Forsaml.","56,353693","10,239919"
" -FLEX Sølund/Pavil.5","56,028121","9,918607"
" -FLEX Tebbestrup, klhv","56,434043","10,008258"
" -FLEX Tebstrup","55,973267","9,878946"
" -FLEX TELEFONFABRIK","55,739607","12,493342"
" -FLEX Thorsagerhallen","56,340348","10,460317"
" -FLEX Thorsager St.","56,355698","10,447826"
" -FLEX Tirstrup Genop.","56,302225","10,684427"
" -FLEX Tirstruphallen","56,299258","10,689824"
" -FLEX Tvede, Udbyh.v.","56,545659","10,169529"
" -FLEX Tved Forsaml.","56,196403","10,434502"
" -FLEX Tørring Kom.adm","55,849234","9,482063"
" -FLEX Tånum v/Kirken","56,460836","9,921593"
" -FLEX Udbyhøj, Færgev.","56,612526","10,297174"
" -FLEX Udbyneder, Udb.v","56,660677","10,236129"
" -FLEX Ugelbølle Forsh.","56,307287","10,416462"
" -FLEX Uggelhuse, Bygd.","56,469324","10,213444"
" -FLEX Uglev Station","56,61254","8,541673"
" -FLEX Uldum, Nedergrd.","55,847243","9,590419"
" -FLEX Ulstrup St.","56,395677","9,793023"
" -FLEX Ungdomsgård","56,55074","8,320287"
" -FLEX VACCINATION HRS.","55,857632","9,812479"
" -FLEX Vejlefjordskolen","55,713371","9,683675"
" -FLEX Vestermarksk.","55,981016","10,133823"
" -FLEX Viborg Domkirke","56,451009","9,412918"
" -FLEX Viborg Sygeh.","56,444958","9,403623"
" -FLEX Viborg Tinghall.","56,455703","9,403656"
" -FLEX Viby Torv","56,128671","10,163294"
" -FLEX Vildb., Ågrd.akt","56,192504","8,76027"
" -FLEX Vilh./Holstebrov","56,479031","8,298547"
" -FLEX Virring Skole","56,031693","10,034847"
" -FLEX Vitus Berings Pl","55,862014","9,842288"
" -FLEX Vitved, Gadekær","56,047296","10,038684"
" -FLEX Vivild Lægehus","56,483358","10,452879"
" -FLEX Voerladegård Sk.","56,02451","9,731745"
" -FLEX Vrinners Beboerh","56,242137","10,492482"
" -FLEX Værum, Nørgrdsv","56,401873","9,990993"
" -FLEX Ø.Bjerregr. Hal","56,483411","9,906162"
" -FLEX Ølholm Bygade","55,837297","9,527006"
" -FLEX Ølsted Skole","55,808089","9,756958"
" -FLEX Ørsted Busst.","56,50067","10,332879"
" -FLEX Ørum Bibliotek","56,44026","10,686863"
" -FLEX Øster Snede Skl.","55,797819","9,651848"
" -FLEX Øster Velling","56,428877","9,853854"
" -FLEX Ø.Tør., Udbyh.v.","56,577558","10,18816"
" -FLEX Aale, Nyvej","55,885691","9,559636"
" -FLEX Ålum, V.Vellingv","56,453102","9,832266"
" -FLEX Aarhus Lufthavn","56,308239","10,62779"
" -FLEX Årslev, Claus H.","56,398522","10,149217"
