Vognløb	Garanti hverdage	Ferie	25., 26. dec.	31. dec., 1. jan.
31362	Alle	7, 28-29	Nej	Nej
31363	Fredag		Ja	Ja
31364	Alle	7, 28-29	Nej	Ja
31365	Alle	30-31, 42	Nej	Nej
31366	Mandag og tirsdag		Ja	Ja
31367	Onsdag, torsdag og fredag		Ja	Ja
31368	Alle	7, 28-29	Ja	Ja
31369	Alle	30-31, 42	Ja	Ja
31370	Alle	7, 28-29	Nej	Nej
31371	Alle	30-31, 42	Ja	Ja
31372	Alle	7, 28-29	Nej	Ja
31373	Alle		Ja	Nej
31374	Fredag	30-31, 42	Ja	Nej
31375	Alle		Nej	Ja
31376	Alle	7, 28-29	Ja	Nej
31377	Alle		Nej	Nej
31378	Alle		Nej	Nej
31379	Mandag og tirsdag	7, 28-29	Ja	Ja
31380	Alle	30-31, 42	Ja	Ja
31381	Alle		Ja	Ja
31382	Alle	30-31, 42	Ja	Ja
31383	Alle		Ja	Ja
31384	Alle		Ja	Ja
31385	Alle		Nej	Nej
31386	Alle		Ja	Ja
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
